Scan Configurations
Target Ip-Address : 45.33.32.156     
No of Ports to scan : 250
Scans to be performed : NULL FIN UDP 
No of threads : 1
Scanning..
...................
Scan took 252.60933 secs
IP address: 45.33.32.156

Open ports:
Port      Service Name (if applicable) Results                                       Conclusion
------------------------------------------------------------------------------------------------------
123       ntp                          NULL(Filtered) FIN(Filtered) UDP(Open)        Open

Closed/Filtered/Unfiltered ports:
Port      Service Name (if applicable) Results                                       Conclusion
------------------------------------------------------------------------------------------------------
166       s-net                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
167       namp                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
168       rsvd                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
169       send                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
170       print-srv                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
171       multiplex                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
172       cl-1                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
173       xyplex-mux                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
174       mailq                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
175       vmnet                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
176       genrad-mux                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
177       xdmcp                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
178       nextstep                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
179       bgp                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
180       ris                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
181       unify                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
182       audit                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
183       ocbinder                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
184       ocserver                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
185       remote-kis                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
186       kis                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
187       aci                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
188       mumps                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
189       qft                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
190       gacp                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
191       prospero                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
192       osu-nms                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
193       srmp                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
194       irc                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
195       dn6-nlm-aud                  NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
196       dn6-smm-red                  NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
197       dls                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
198       dls-mon                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
199       smux                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
200       src                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
201       at-rtmp                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
202       at-nbp                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
203       at-3                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
204       at-echo                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
205       at-5                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
206       at-zis                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
207       at-7                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
208       at-8                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
209       tam                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
210       z39.50                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
211       914c-g                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
212       anet                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
213       ipx                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
214       vmpwscs                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
215       softpc                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
216       atls                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
217       dbase                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
218       mpp                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
219       uarps                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
220       imap3                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
221       fln-spx                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
222       rsh-spx                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
